asset_key,profile_key,section_key,module_keys,slot_key,section_route_key,must_include_asset_count,must_suppress_asset_count,status,issues
big5_canonical_profile_sensitive_independent_thinker_hero_summary_v0_1,sensitive_independent_thinker,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.sensitive_independent_thinker,sensitive_independent_thinker.hero_summary,13,9,PASS,
big5_canonical_profile_sensitive_independent_thinker_domains_overview_v0_1,sensitive_independent_thinker,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.sensitive_independent_thinker,sensitive_independent_thinker.domains_overview,8,9,PASS,
big5_canonical_profile_sensitive_independent_thinker_domain_deep_dive_v0_1,sensitive_independent_thinker,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.sensitive_independent_thinker,sensitive_independent_thinker.domain_deep_dive,8,9,PASS,
big5_canonical_profile_sensitive_independent_thinker_facet_details_v0_1,sensitive_independent_thinker,facet_details,module_05_facet_reframe,canonical_profile_facet_route.sensitive_independent_thinker,sensitive_independent_thinker.facet_details,8,11,PASS,
big5_canonical_profile_sensitive_independent_thinker_core_portrait_v0_1,sensitive_independent_thinker,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.sensitive_independent_thinker,sensitive_independent_thinker.core_portrait,13,9,PASS,
big5_canonical_profile_sensitive_independent_thinker_norms_comparison_v0_1,sensitive_independent_thinker,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.sensitive_independent_thinker,sensitive_independent_thinker.norms_comparison,8,11,PASS,
big5_canonical_profile_sensitive_independent_thinker_action_plan_v0_1,sensitive_independent_thinker,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.sensitive_independent_thinker,sensitive_independent_thinker.action_plan,7,10,PASS,
big5_canonical_profile_sensitive_independent_thinker_methodology_and_access_v0_1,sensitive_independent_thinker,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.sensitive_independent_thinker,sensitive_independent_thinker.methodology_and_access,6,9,PASS,
big5_canonical_profile_vigilant_perfectionist_hero_summary_v0_1,vigilant_perfectionist,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.vigilant_perfectionist,vigilant_perfectionist.hero_summary,10,10,PASS,
big5_canonical_profile_vigilant_perfectionist_domains_overview_v0_1,vigilant_perfectionist,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.vigilant_perfectionist,vigilant_perfectionist.domains_overview,8,10,PASS,
big5_canonical_profile_vigilant_perfectionist_domain_deep_dive_v0_1,vigilant_perfectionist,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.vigilant_perfectionist,vigilant_perfectionist.domain_deep_dive,8,10,PASS,
big5_canonical_profile_vigilant_perfectionist_facet_details_v0_1,vigilant_perfectionist,facet_details,module_05_facet_reframe,canonical_profile_facet_route.vigilant_perfectionist,vigilant_perfectionist.facet_details,7,12,PASS,
big5_canonical_profile_vigilant_perfectionist_core_portrait_v0_1,vigilant_perfectionist,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.vigilant_perfectionist,vigilant_perfectionist.core_portrait,9,10,PASS,
big5_canonical_profile_vigilant_perfectionist_norms_comparison_v0_1,vigilant_perfectionist,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.vigilant_perfectionist,vigilant_perfectionist.norms_comparison,8,12,PASS,
big5_canonical_profile_vigilant_perfectionist_action_plan_v0_1,vigilant_perfectionist,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.vigilant_perfectionist,vigilant_perfectionist.action_plan,7,11,PASS,
big5_canonical_profile_vigilant_perfectionist_methodology_and_access_v0_1,vigilant_perfectionist,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.vigilant_perfectionist,vigilant_perfectionist.methodology_and_access,6,10,PASS,
big5_canonical_profile_complex_explorer_low_structure_hero_summary_v0_1,complex_explorer_low_structure,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.complex_explorer_low_structure,complex_explorer_low_structure.hero_summary,10,10,PASS,
big5_canonical_profile_complex_explorer_low_structure_domains_overview_v0_1,complex_explorer_low_structure,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.complex_explorer_low_structure,complex_explorer_low_structure.domains_overview,8,10,PASS,
big5_canonical_profile_complex_explorer_low_structure_domain_deep_dive_v0_1,complex_explorer_low_structure,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.complex_explorer_low_structure,complex_explorer_low_structure.domain_deep_dive,8,10,PASS,
big5_canonical_profile_complex_explorer_low_structure_facet_details_v0_1,complex_explorer_low_structure,facet_details,module_05_facet_reframe,canonical_profile_facet_route.complex_explorer_low_structure,complex_explorer_low_structure.facet_details,7,12,PASS,
big5_canonical_profile_complex_explorer_low_structure_core_portrait_v0_1,complex_explorer_low_structure,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.complex_explorer_low_structure,complex_explorer_low_structure.core_portrait,9,10,PASS,
big5_canonical_profile_complex_explorer_low_structure_norms_comparison_v0_1,complex_explorer_low_structure,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.complex_explorer_low_structure,complex_explorer_low_structure.norms_comparison,8,12,PASS,
big5_canonical_profile_complex_explorer_low_structure_action_plan_v0_1,complex_explorer_low_structure,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.complex_explorer_low_structure,complex_explorer_low_structure.action_plan,7,11,PASS,
big5_canonical_profile_complex_explorer_low_structure_methodology_and_access_v0_1,complex_explorer_low_structure,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.complex_explorer_low_structure,complex_explorer_low_structure.methodology_and_access,6,10,PASS,
big5_canonical_profile_quiet_deep_worker_hero_summary_v0_1,quiet_deep_worker,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.quiet_deep_worker,quiet_deep_worker.hero_summary,10,10,PASS,
big5_canonical_profile_quiet_deep_worker_domains_overview_v0_1,quiet_deep_worker,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.quiet_deep_worker,quiet_deep_worker.domains_overview,8,10,PASS,
big5_canonical_profile_quiet_deep_worker_domain_deep_dive_v0_1,quiet_deep_worker,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.quiet_deep_worker,quiet_deep_worker.domain_deep_dive,8,10,PASS,
big5_canonical_profile_quiet_deep_worker_facet_details_v0_1,quiet_deep_worker,facet_details,module_05_facet_reframe,canonical_profile_facet_route.quiet_deep_worker,quiet_deep_worker.facet_details,7,12,PASS,
big5_canonical_profile_quiet_deep_worker_core_portrait_v0_1,quiet_deep_worker,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.quiet_deep_worker,quiet_deep_worker.core_portrait,9,10,PASS,
big5_canonical_profile_quiet_deep_worker_norms_comparison_v0_1,quiet_deep_worker,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.quiet_deep_worker,quiet_deep_worker.norms_comparison,8,12,PASS,
big5_canonical_profile_quiet_deep_worker_action_plan_v0_1,quiet_deep_worker,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.quiet_deep_worker,quiet_deep_worker.action_plan,7,11,PASS,
big5_canonical_profile_quiet_deep_worker_methodology_and_access_v0_1,quiet_deep_worker,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.quiet_deep_worker,quiet_deep_worker.methodology_and_access,6,10,PASS,
big5_canonical_profile_connective_coordinator_hero_summary_v0_1,connective_coordinator,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.connective_coordinator,connective_coordinator.hero_summary,10,10,PASS,
big5_canonical_profile_connective_coordinator_domains_overview_v0_1,connective_coordinator,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.connective_coordinator,connective_coordinator.domains_overview,8,10,PASS,
big5_canonical_profile_connective_coordinator_domain_deep_dive_v0_1,connective_coordinator,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.connective_coordinator,connective_coordinator.domain_deep_dive,8,10,PASS,
big5_canonical_profile_connective_coordinator_facet_details_v0_1,connective_coordinator,facet_details,module_05_facet_reframe,canonical_profile_facet_route.connective_coordinator,connective_coordinator.facet_details,7,12,PASS,
big5_canonical_profile_connective_coordinator_core_portrait_v0_1,connective_coordinator,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.connective_coordinator,connective_coordinator.core_portrait,9,10,PASS,
big5_canonical_profile_connective_coordinator_norms_comparison_v0_1,connective_coordinator,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.connective_coordinator,connective_coordinator.norms_comparison,8,12,PASS,
big5_canonical_profile_connective_coordinator_action_plan_v0_1,connective_coordinator,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.connective_coordinator,connective_coordinator.action_plan,7,11,PASS,
big5_canonical_profile_connective_coordinator_methodology_and_access_v0_1,connective_coordinator,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.connective_coordinator,connective_coordinator.methodology_and_access,6,10,PASS,
big5_canonical_profile_sharp_exploratory_driver_hero_summary_v0_1,sharp_exploratory_driver,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.sharp_exploratory_driver,sharp_exploratory_driver.hero_summary,11,10,PASS,
