asset_key,trait,facet_key,facet_role,module_key,section_key,slot_key,module_key_valid,section_key_valid,slot_key_valid,facet_support_present,render_surface_valid,status
big5_facet_v0_1_o1_facet_glossary,O,O1,facet_glossary,module_05_facet_reframe,facet_details,facet_details.o1.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_o1_facet_high_reframe,O,O1,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.o1.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o1_facet_low_reframe,O,O1,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.o1.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o2_facet_glossary,O,O2,facet_glossary,module_05_facet_reframe,facet_details,facet_details.o2.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_o2_facet_high_reframe,O,O2,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.o2.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o2_facet_low_reframe,O,O2,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.o2.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o3_facet_glossary,O,O3,facet_glossary,module_05_facet_reframe,facet_details,facet_details.o3.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_o3_facet_high_reframe,O,O3,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.o3.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o3_facet_low_reframe,O,O3,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.o3.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o4_facet_glossary,O,O4,facet_glossary,module_05_facet_reframe,facet_details,facet_details.o4.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_o4_facet_high_reframe,O,O4,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.o4.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o4_facet_low_reframe,O,O4,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.o4.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o5_facet_glossary,O,O5,facet_glossary,module_05_facet_reframe,facet_details,facet_details.o5.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_o5_facet_high_reframe,O,O5,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.o5.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o5_facet_low_reframe,O,O5,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.o5.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o6_facet_glossary,O,O6,facet_glossary,module_05_facet_reframe,facet_details,facet_details.o6.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_o6_facet_high_reframe,O,O6,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.o6.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_o6_facet_low_reframe,O,O6,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.o6.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_c1_facet_glossary,C,C1,facet_glossary,module_05_facet_reframe,facet_details,facet_details.c1.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_c1_facet_high_reframe,C,C1,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.c1.high_reframe,True,True,True,True,True,PASS
