question_id,facet_code,domain_code
1,N1,N
2,E1,E
3,O1,O
4,A1,A
5,C1,C
6,N2,N
7,E2,E
8,O2,O
9,A2,A
10,C2,C
11,N3,N
12,E3,E
13,O3,O
14,A3,A
15,C3,C
16,N4,N
17,E4,E
18,O4,O
19,A4,A
20,C4,C
21,N5,N
22,E5,E
23,O5,O
24,A5,A
25,C5,C
26,N6,N
27,E6,E
28,O6,O
29,A6,A
30,C6,C
31,N1,N
32,E1,E
33,O1,O
34,A1,A
35,C1,C
36,N2,N
37,E2,E
38,O2,O
39,A2,A
40,C2,C
41,N3,N
42,E3,E
43,O3,O
44,A3,A
45,C3,C
46,N4,N
47,E4,E
48,O4,O
49,A4,A
50,C4,C
51,N5,N
52,E5,E
53,O5,O
54,A5,A
55,C5,C
56,N6,N
57,E6,E
58,O6,O
59,A6,A
60,C6,C
61,N1,N
62,E1,E
63,O1,O
64,A1,A
65,C1,C
66,N2,N
67,E2,E
68,O2,O
69,A2,A
70,C2,C
71,N3,N
72,E3,E
73,O3,O
74,A3,A
75,C3,C
76,N4,N
77,E4,E
78,O4,O
79,A4,A
80,C4,C
81,N5,N
82,E5,E
83,O5,O
84,A5,A
85,C5,C
86,N6,N
87,E6,E
88,O6,O
89,A6,A
90,C6,C
91,N1,N
92,E1,E
93,O1,O
94,A1,A
95,C1,C
96,N2,N
97,E2,E
98,O2,O
99,A2,A
100,C2,C
101,N3,N
102,E3,E
103,O3,O
104,A3,A
105,C3,C
106,N4,N
107,E4,E
108,O4,O
109,A4,A
110,C4,C
111,N5,N
112,E5,E
113,O5,O
114,A5,A
115,C5,C
116,N6,N
117,E6,E
118,O6,O
119,A6,A
120,C6,C
