slug,locale,path,family_uuid,directory_family_slug,round_1_api_http_status,round_1_page_http_status,round_1_redirect_count,round_1_checks_pass,round_2_api_http_status,round_2_page_http_status,round_2_redirect_count,round_2_checks_pass
actuaries,en,/en/career/jobs/actuaries,019deefb-42a2-7230-96e1-6b9ee65a577e,,200,200,0,true,200,200,0,true
actuaries,zh-CN,/zh/career/jobs/actuaries,019deefb-42a2-7230-96e1-6b9ee65a577e,,200,200,0,true,200,200,0,true
architectural-and-engineering-managers,en,/en/career/jobs/architectural-and-engineering-managers,019deefb-42a2-7230-96e1-6b9ee65a577e,,200,200,0,true,200,200,0,true
architectural-and-engineering-managers,zh-CN,/zh/career/jobs/architectural-and-engineering-managers,019deefb-42a2-7230-96e1-6b9ee65a577e,,200,200,0,true,200,200,0,true
budget-analysts,en,/en/career/jobs/budget-analysts,019df240-47d9-7165-8a49-9c5a316dfe34,,200,200,0,true,200,200,0,true
budget-analysts,zh-CN,/zh/career/jobs/budget-analysts,019df240-47d9-7165-8a49-9c5a316dfe34,,200,200,0,true,200,200,0,true
compensation-benefits-and-job-analysis-specialists,en,/en/career/jobs/compensation-benefits-and-job-analysis-specialists,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
compensation-benefits-and-job-analysis-specialists,zh-CN,/zh/career/jobs/compensation-benefits-and-job-analysis-specialists,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
compliance-officers,en,/en/career/jobs/compliance-officers,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
compliance-officers,zh-CN,/zh/career/jobs/compliance-officers,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
computer-and-information-research-scientists,en,/en/career/jobs/computer-and-information-research-scientists,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
computer-and-information-research-scientists,zh-CN,/zh/career/jobs/computer-and-information-research-scientists,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
computer-and-information-systems-managers,en,/en/career/jobs/computer-and-information-systems-managers,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
computer-and-information-systems-managers,zh-CN,/zh/career/jobs/computer-and-information-systems-managers,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
computer-hardware-engineers,en,/en/career/jobs/computer-hardware-engineers,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
computer-hardware-engineers,zh-CN,/zh/career/jobs/computer-hardware-engineers,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
computer-programmers,en,/en/career/jobs/computer-programmers,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
computer-programmers,zh-CN,/zh/career/jobs/computer-programmers,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
computer-support-specialists,en,/en/career/jobs/computer-support-specialists,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
computer-support-specialists,zh-CN,/zh/career/jobs/computer-support-specialists,019df361-9b6a-7027-ae93-53ef4b46aa18,,200,200,0,true,200,200,0,true
economists,en,/en/career/jobs/economists,019e1209-aa2e-736e-8b75-7f93a33bba82,,200,200,0,true,200,200,0,true
